track_id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,isrc
4pWIwnnqx8k01fuF95UMIg,0.00443,0.342,0.976,0.0175,2,0.0974,-4.986,1,0.0573,166.663,0.733,GBSTK0700002
2MvvoeRt8NcOXWESkxWn3g,0.534,0.525,0.472,0.614,4,0.11,-9.277,1,0.0739,127.945,0.0424,NZUM71300122
0w5Bdu51Ka25Pf3hojsKHh,0.00647,0.695,0.818,4.87e-06,5,0.0219,-5.379,0,0.0334,119.965,0.916,USAT21700948
4prEPl61C8qZpeo3IkYSMl,0.0892,0.568,0.719,1.84e-06,8,0.233,-5.406,1,0.0354,106.036,0.539,USSM10901014
4J4pysp2EFNhYibI8tIg0D,0.00286,0.498,0.856,1.92e-06,4,0.469,-5.397,0,0.045,123.088,0.626,GBBKS2400080
0t4z0WaQomQqPONghWn8c2,0.0285,0.628,0.841,0.00332,9,0.254,-4.583,1,0.0268,111.985,0.706,USSM11707037
7d23MhPFE9eB3U8DPRirnL,0.0131,0.642,0.931,0.825,1,0.215,-4.142,1,0.0417,152.005,0.548,GBAHS1100389
3awweDjWIuXNMogMClJnvE,0.352,0.716,0.545,0.00369,0,0.101,-6.949,0,0.0329,98.23,0.826,USA2P2416224
5gSHlT2SI0dtjeHrjj96A1,0.288,0.622,0.693,1.06e-06,7,0.136,-8.619,1,0.0274,109.055,0.843,GB01A9000004
3SeDS5sSoWnwAZvVgkdKzf,0.283,0.678,0.64,0.00067,9,0.682,-7.486,1,0.0268,90.058,0.701,QM5BK1900509
5c9tBmJKbTdn1vhzXHeAwW,0.0539,0.718,0.706,0.0,7,0.41,-5.596,0,0.0587,131.943,0.58,USAT22401343
04uR2cdkgiaLIzebPcs25m,0.3,0.526,0.723,0.00698,5,0.058,-5.59,1,0.0294,159.685,0.744,GBBPW0900065
